id,text,label,label_id
870,"When the time is up , everyone shpuld be gathered in a certain place .",SPELLING_ERROR,2
382,He knows that there is no return in his help to others .,GRAMMAR_ERROR,1
234,"For this reason , the number of cars would decrease in the future .",OK,0
595,And the important is travel without the tour guide .,GRAMMAR_ERROR,1
722,"When the pirce of gas goes up , consumers do not want to buy gas for ufel .",SPELLING_ERROR,2
392,Because one time you get success and next time will why not ?,GRAMMAR_ERROR,1
90,Students can focus on only a few subjects they are interested in and they will become an expert in those areas .,OK,0
413,Ever increasing competancy rates force them into frequent business model changes for a compatible trasisional flexibility .,GRAMMAR_ERROR,1
486,But ideas of how you can solve this problem will actually give you a solution to the problem .,GRAMMAR_ERROR,1
580,"The advertisemnet says that the car has space for 1 0 people when thhe truth is that the car is just 4 people space , another example is an advertisement of a skin soap , they said that this soap is the best because they say your skin wil be as soft as a fifteen years old princess , or that your skin will be as soft as the Jennife Lopez 's skin .",GRAMMAR_ERROR,1
13,"Thus , even today , sex is considered the least important topic in many parts of India .",OK,0
277,I personally like to participate in all kinds of activities and meet many people like to as well .,OK,0
859,Educators should provide opportunities for htem to gain enough konwledge to survive in the real world .,SPELLING_ERROR,2
378,"Nowadays , we need a person who are capable of all sorts of works .",GRAMMAR_ERROR,1
835,"Firstly , tje stripd bass consume a large quantity of menhaden ; secondly , this fish is a source of protein for farm animals ; and finally , the fishing industry provides jobs for some people in Virginia .",SPELLING_ERROR,2
768,"To solve ths problem , ctiy governments are likely to improve public transportation systems by building new subway systems and adding more bus lines .",SPELLING_ERROR,2
572,There are cars that use gas to power them .,GRAMMAR_ERROR,1
317,because they spent time unmeaningful subjects .,GRAMMAR_ERROR,1
531,"According to me , in order to start the carrier through the success it`s importand to have a solid base , that means knowledge and experience .",GRAMMAR_ERROR,1
10,Here was no promise of morning except that we looked up through the trees and we saw how low the forest had swung .,OK,0
159,Very soon they will run out at the current rate of utilization .,OK,0
32,"It features Diana Krall wearing a Rolex watch and the text suggests that if the reader wants to belong to a restricted club -- not necessarily of Rolex watch-wearers -- but of highly talented , sophisticated , competent artists , then he or she should also have a Rolex .",OK,0
439,for example when we talk about speed they must anderstand why it is dengures is beteer than if they have axcedant after that they learn .,GRAMMAR_ERROR,1
178,"In order to do this , they need to learn additional skills , either theoretical or practical , that will increase their understanding and the future application of their chosen subjects .",OK,0
144,Thus I agree wholeheartedly with the above : in twenty years there will be fewer cars in use than there are today .,OK,0
408,"But on the other hand ther is also people that is often convinced by the interesting advertisements they see everywhere , becuase of this many times they have to face problems with the product that they bought and many times ther is no way to give back that product .",GRAMMAR_ERROR,1
637,"Nevertheless , this city is experiencing a big chane .",SPELLING_ERROR,2
355,"He/she wants to know everything about the universe , wants to know everything about the God , the death etc. these some concepts that everyone can encourage a lot of ideas but the facts are not found yet .",GRAMMAR_ERROR,1
663,They will not be able to compete wiyh orher similar brands and the product will fizzle out or die .,SPELLING_ERROR,2
351,"I never have stopped myself to think this , but this is a real possibility for the fucture .",GRAMMAR_ERROR,1
852,"For example , if teh ity says that 8 am ~ 9 am is the busiest time , then the worker would argue that they drive a little later .",SPELLING_ERROR,2
685,When these people crate their new ideas others often look veyr strangely on them .,SPELLING_ERROR,2
697,"If peolpe prefer to choose dars over motorbikes , that means there will be many cars .",SPELLING_ERROR,2
650,"So if I have a olt of information abuot a subject , then I will talk with too much knowledge , but if i have just general information about the subject , then I will talk about it with my limited knowledge , and this may cause me shame , like when my brother asked me about something but I did not have a lot of information about the subject .",SPELLING_ERROR,2
100,"In the case of young people , the best way is to study as hard as possible to get better grades so in the future they will have a better chance to find a good job .",OK,0
849,"Indeed , tey threaten a lot of freshwater fis species because they need to eat and to find different kinds of food in the oceans .",SPELLING_ERROR,2
621,Bog farming are using more chemical products and substances to feed fish .,SPELLING_ERROR,2
450,Once the policy mention in the reading passage .,GRAMMAR_ERROR,1
749,Theh even ask themselves how this kind of thing did n't corss their minds .,SPELLING_ERROR,2
647,"Unfortunately , mot older peopoe can not use the internet in spite of its benefits .",SPELLING_ERROR,2
278,I myself like to participate in this kind of activities and meet many people who would like to do them .,OK,0
494,"I , on the other hand , have no major responsibility other than studying .",GRAMMAR_ERROR,1
625,"For example , my coysin is 12 years old .",SPELLING_ERROR,2
855,"Fpr example , if the city says that 8 am -- 9 am is the vusiest time , then workers could argue that they should drive a bit later .",SPELLING_ERROR,2
99,"Today , MBA students with a background in engineering are in high demand .",OK,0
211,Young has his own field and works hard on it and benefits society .,OK,0
325,In the case of young people the best way is studying as hard as possible to get better grades so in the future they will have better chance to find better jobs .,GRAMMAR_ERROR,1
732,"On the other hand , although in Turkey teh public transportation is developing , especially in the two big cities , that is , Ankara adn istanbul , it is still nothing compared to Sweden .",SPELLING_ERROR,2
616,A dosadvantage is tht parking their cars is very difficult .,SPELLING_ERROR,2
1,So I think we could not live if older people did not develop science and technologies .,OK,0
161,"In the lecture , however , the professor opposed the statement in the reading .",OK,0
177,"In order to do this , they would need to learn additional skills , either theoretical or practical , that would increase their understanding and future application of their chosen subject .",OK,0
856,Educators should provide opportunities for them to lwarn enough knowledge to survive in the eral world .,SPELLING_ERROR,2
837,They were driven to settlements in toher doamins .,SPELLING_ERROR,2
86,We have to know about this problem because it 's serious but most people do n't know about this .,OK,0
606,One possibel outcome is that an environmentally induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries .,SPELLING_ERROR,2
444,"Marco Polo used Persian langage , not Chinese or Mongolian .",GRAMMAR_ERROR,1
692,"No other transportation concetp has bene as successful as the car , not only because they can go on the street and highway system throughout the United States and Europe , but because of the fact that people love their cars .",SPELLING_ERROR,2
192,This will prove the speeding offense so that the police can easily catch them .,OK,0
681,"He said , in other worcs , that more fluorid may create damage in the human body , specifically the bone .",SPELLING_ERROR,2
155,"However , are these things all good to people ?",OK,0
846,"I think people should traveo by making decisoin for themselves , for many reasons .",SPELLING_ERROR,2
550,Government use that money in public use and safty .,GRAMMAR_ERROR,1
682,"He said , in other words , that more fluoride may create daamge to teh human body , specifically the bones .",SPELLING_ERROR,2
116,I will explain my point of view in the following paragraphs .,OK,0
805,"In the advertisement that he show in hte media , newspapers , magazines , and public spaces , he clearly says that the product is made with products of high quality in technology .",SPELLING_ERROR,2
842,"The timeline of this dnger , which i havw already given above , is so predictable that one can even make calculations about it if they have both the population and the existing fuel level .",SPELLING_ERROR,2
586,Of course he has the risk of failing but imagine the fantastic sensation of victory if his second bakery is as much as successful as the first one .,GRAMMAR_ERROR,1
797,"Even more relevatn to the seduction of advertisement is the afct that quite frequently those images of perfection placed in front of our eyes are just mirages and illusions , bodies touched up by computer programs and therefore they do not resemble reality at all .",SPELLING_ERROR,2
470,The consumers also know how advertisemnets are .,GRAMMAR_ERROR,1
89,Students can focus on only a few subjects they are interested in and they will become experts in those areas .,OK,0
665,People are now opening their eyes to the scenaro that happens when we un out of fuel .,SPELLING_ERROR,2
775,I know lots of ld people who go to parties and always stay in contact wiyh others .,SPELLING_ERROR,2
728,"Wehn you 're making a tour guide trip , uou already have everything settled from the time you 're departing , to the time you arrive .",SPELLING_ERROR,2
210,"Young has his own field , has worked on it hard , and does more to benefit to the society .",OK,0
332,Beacuse all those broad knowledge help they to understand their major in university as well as help they to make a correct choice in specializing study .,GRAMMAR_ERROR,1
82,"If , in this society , there are those who will not study , then they neither comprehend their opportunity nor understand any ideas most important in this situation , which I find very interesting and prefer for study material .",OK,0
843,"The timeline for this danger , which I have already given abovr , is so predictable that one can even make calculations about it if he/she has both the population nad existing fuel counts .",SPELLING_ERROR,2
529,"Also , food chain becomes more stronger that is was before , such as rabbits and hear .",GRAMMAR_ERROR,1
367,but most time it is important because most student is not baly and his think and ideas is very important .,GRAMMAR_ERROR,1
601,Mew technology hqs been introduced into the society .,SPELLING_ERROR,2
565,The lecturer against the authour 's insistments following reasons .,GRAMMAR_ERROR,1
52,"Fourth , they have a great chance to prepare for their future life .",OK,0
556,"Even though the place I went was Kyoto which is most beautiful city in Japan and they have most valuable and interesting temples , nothing really remein in my mind after the trip because I was just part of the group and following a tour guide without thinking .",GRAMMAR_ERROR,1
524,A perfect example of Real Politik was when Bismarck manipulated the letter written by the king and sent it to the French emperor Napoleon III .,GRAMMAR_ERROR,1
87,We have to know if this problem is serious but most people do n't know about it .,OK,0
786,"I like that at first , bt fater a while it gradually starts getting boring until finally I do n't have an interest in all the stuff .",SPELLING_ERROR,2
452,Also the youth have less mental pressure .,GRAMMAR_ERROR,1
229,They make very high profits year after year and their numbers also increase year after year .,OK,0
473,"In my opinion , this statement is groundless and the youngsters today do contribute to their communities to a great extent .",GRAMMAR_ERROR,1
809,We haev a lot of papers we have to write .,SPELLING_ERROR,2
894,"In Makaysia , there are a olt of cars .",SPELLING_ERROR,2
467,"When many people were very young , they must have mang time to learn knowlegable , They donnot have much time to enjoy life as much as posssbale .",GRAMMAR_ERROR,1
188,And it will put your mind into non-stop learning .,OK,0
736,Tyis rebuffs the readin passage 's claim that there is no improvement .,SPELLING_ERROR,2
838,Tgey wee driven to settlements in other areas .,SPELLING_ERROR,2
817,The development of biomecanics has made this possible .,SPELLING_ERROR,2
674,They only care if ghe effects are gopd and popular with the crowds .,SPELLING_ERROR,2
568,They behave as though they were just spontaneously praising a product during noring normal conversation .,GRAMMAR_ERROR,1
553,"I stated to have been interest in math , I spent lot of time to solve math problemes and I got good score at exam , it make have more passion about math .",GRAMMAR_ERROR,1
341,But YOU have to create these opportunities .,GRAMMAR_ERROR,1
112,Specializing in one particular subject does not suit our lives in this era which is characterized by diversity and innovation .,OK,0
106,The school tries to teach the students a bit of every type of science .,OK,0
68,They spent time in subjects that were not meaningful .,OK,0
635,"Secondly , chimps czn also present teh capability for grammar , which means they demonstrate the ability to combine words and use grammatical constructions .",SPELLING_ERROR,2
250,"If they are specialized doctors , the doctor has done the operation very often before , so he is really talented in his job .",OK,0
135,And it was very easy for me to understand why he always bringing bad marks home .,OK,0
15,"Thus , even today sex is considered as the least important topic in many parts of India .",OK,0
860,"For example , wen I am studying fo tests or doing my homework , my grandparents can go out and do what they enjoy .",SPELLING_ERROR,2
484,Furethermore the professor denies the reading passage which states that treasure does not exsit and it is just fiction .,GRAMMAR_ERROR,1
538,Techology has grown so fast because everyone tries to work on an invention due to some ideas he has developed and concepts that have been applied to this idea from different subject areas .,GRAMMAR_ERROR,1
70,Because they spent time on unmeaningful subjects .,OK,0
291,Because when we learn about some subjects we should have more information about what we study so that the students will get the information easier and better and this is my first reason .,OK,0
574,Education is the basis of opportunities and the amount of subjects in which a person has knowledge conditions his or her opportunities in very important aspects of life like work and even helping others .,GRAMMAR_ERROR,1
239,"So , he took it upon himself to narrow his research on the subject , which was a mystery to the world .",OK,0
330,He thinks differently from other people and he succeded .,GRAMMAR_ERROR,1
200,"Lastly , he chose to learn the truth .",OK,0
47,"Since most urban areas are teeming with cars , they are all facing the unavoidable problem of air and noise pollution .",OK,0
22,"They draw the consumers , like me , to purchase this great product with all these amazing features , but actually sometimes they just make something up just to increase their sales .",OK,0
105,So the school tried teaching the students a bit about every science that exists .,OK,0
198,"In today 's world , computer skills is the most important life skill .",OK,0
443,And they can make a products and sell it cheaper than most countries .,GRAMMAR_ERROR,1
829,"Ypu can olny be successful by learning and trying new things , and by having an open and creative mind .",SPELLING_ERROR,2
584,In addition the technology on which these mass transport systems function are based primarily on non-conventional sources of energy .,GRAMMAR_ERROR,1
624,"Ofr example , my cosuin is 12 years old .",SPELLING_ERROR,2
368,"Otherwise , it will be a problem for us to understand certain thing in life .",GRAMMAR_ERROR,1
287,He mainly concentrated on the questions asked of him at the time of the interview .,OK,0
54,They have a great chance to prepare for their future life .,OK,0
896,"So they are free to do all sorts of thnigs , ven if they are considered dangerous or irresponsible , such as bungee-jumping .",SPELLING_ERROR,2
666,People rae npw opening their eyes to the scenario where we could run out of fuel .,SPELLING_ERROR,2
752,"People yend to choose other medias , qnd that is why literature is in danger .",SPELLING_ERROR,2
58,"If one person does n't have good health , that means they could lose so many things .",OK,0
307,For example they can play football whenever they want but the olders can not .,GRAMMAR_ERROR,1
361,I did n't have self-confidence .,GRAMMAR_ERROR,1
559,It is more exciting and memorable .,GRAMMAR_ERROR,1
377,It is obvious that after returning i was tired and the night is meant to sleep ! .,GRAMMAR_ERROR,1
438,"Examples : If the good skill people do some thing wrong ways and they got good respond like thife , robber , stolen , criminal and make problems to another people .",GRAMMAR_ERROR,1
156,They will run out very soon at the current rate of utilization .,OK,0
46,"Since most urban areas are occupied with cars , they are all face upped with an irresistible problem of air and noise pollution .",OK,0
331,These activities make the community a better place to live in and inculcate these values in all the members .,GRAMMAR_ERROR,1
416,That is what it gives us a lot of opportunity to think .,GRAMMAR_ERROR,1
662,They wil not be able to compete with similar brands and the product will fizzle out or die .,SPELLING_ERROR,2
312,"It is true that consumers preffer to buy a product that has a lower price , but when international companies that has already the certification begins to send its market , people will preffer to consume theirs because the difference between prices is probbably not going to affect them to much .",GRAMMAR_ERROR,1
426,They want to make people understend thet dhe product is the best and really you can trust on it .,GRAMMAR_ERROR,1
706,"For exampel , in math club , teachers usually teach us how to solve a math problem usign various methods .",SPELLING_ERROR,2
864,Traditional encyclopedis are written by trined experts for academic rigor that can not really achieve .,SPELLING_ERROR,2
253,So it will be a good situation .,OK,0
793,So the information technology adn advnced technology have increased .,SPELLING_ERROR,2
366,so this test is very important with theirs .,GRAMMAR_ERROR,1
140,"If every person tries to learn and understand lots of scientific subjects , no person will do it and , as a result of this , no science will be improved .",OK,0
577,We must trust ourselves,GRAMMAR_ERROR,1
414,"However , this reading passage casts douts on the speaker 's mention .",GRAMMAR_ERROR,1
385,There can not be no bothering and no hazzle .,GRAMMAR_ERROR,1
714,"I hve an IBM computer , and my laptop is a Dell .",SPELLING_ERROR,2
259,"Also , I have traveled in a group without a tour guide .",OK,0
521,"someone likes music and someone like science , and some one is talent on ballet while someone is not .",GRAMMAR_ERROR,1
631,"If it does , you will oly gwt some misunderstood idea about that article but not the original one .",SPELLING_ERROR,2
848,"Indeed , they thraet a lot of freshwater fish spcies because they need to eat and to find different kinds of food in the ocean .",SPELLING_ERROR,2
544,This contradicts the reading passage 's that it has bad influences to economics .,GRAMMAR_ERROR,1
183,"If you want a product , you give a create a beautiful image around it if you want sell it .",OK,0
585,"First of all , old houses are not necessarily suited to the needs of mordern residents .",GRAMMAR_ERROR,1
462,On the other hand each academic field needs specialists in order to progress .,GRAMMAR_ERROR,1
889,"For example , in this generation people watch moveis and listen to music omre than they read books or novels .",SPELLING_ERROR,2
762,"So for these reason , I really believe that it 's omportant to have a broad knowledge of different subjects instead of being focused on just one , because sometimes the answer that we are searching for can be easily found in a field that can seem unrelated to our purpose .",SPELLING_ERROR,2
92,"But in another way , this means the country needs to pay extra money to build and repair the roads ; what they did is reduce the amount of gas consumed , raise the gas tax , and lower the income tax because they thought only raising the gas tax is unfair .",OK,0
810,We have a olt of papers we have to write .,SPELLING_ERROR,2
504,Producing vehicles that are more fuel efficint will damage roads and that will cost a lot to repair .,GRAMMAR_ERROR,1
216,"If we consider an idea as a totally autonomous concept within the individual process of defining reality , I think the ideas are useless , and not based on experience .",OK,0
730,"When you 're taking a tou guide trip , you have everythig settled from the time you leave to the time you arrive .",SPELLING_ERROR,2
655,"If I see that soneone did something that may ssve me me time and energy , and it works , then I will do it too .",SPELLING_ERROR,2
